MONTH,MonthlyGTMaximumDryBulbTemperature,MonthlyGTMinimumDryBulbTemperature
1.0,22.516129032258064,4.129032258064516
2.0,23.214285714285715,3.0714285714285716
3.0,40.54838709677419,15.290322580645162
4.0,58.36666666666667,32.43333333333333
5.0,66.93548387096774,42.16129032258065
6.0,75.24137931034483,54.10344827586207
7.0,83.96774193548387,60.41935483870968
8.0,84.89655172413794,60.13793103448276
9.0,71.06896551724138,45.758620689655174
10.0,63.54838709677419,38.16129032258065
11.0,35.93333333333333,20.833333333333332
12.0,31.333333333333332,16.3
